"GEOID","NAME","variable","estimate","moe"
"36001014002","Census Tract 140.02, Albany County, New York","B01001_001",4169,381
"36001014100","Census Tract 141, Albany County, New York","B01001_001",5204,276
"36001014201","Census Tract 142.01, Albany County, New York","B01001_001",5873,438
"36001014202","Census Tract 142.02, Albany County, New York","B01001_001",5883,345
"36001014203","Census Tract 142.03, Albany County, New York","B01001_001",6317,327
"36001014301","Census Tract 143.01, Albany County, New York","B01001_001",2880,266
"36001014302","Census Tract 143.02, Albany County, New York","B01001_001",8552,421
"36001014401","Census Tract 144.01, Albany County, New York","B01001_001",4143,45
"36001014402","Census Tract 144.02, Albany County, New York","B01001_001",3275,35
"36001014501","Census Tract 145.01, Albany County, New York","B01001_001",2518,141
"36001014502","Census Tract 145.02, Albany County, New York","B01001_001",3418,141
"36001014503","Census Tract 145.03, Albany County, New York","B01001_001",2822,17
"36001014606","Census Tract 146.06, Albany County, New York","B01001_001",3648,239
"36001014607","Census Tract 146.07, Albany County, New York","B01001_001",7621,356
"36001014608","Census Tract 146.08, Albany County, New York","B01001_001",4083,316
"36001014609","Census Tract 146.09, Albany County, New York","B01001_001",4738,283
"36001014611","Census Tract 146.11, Albany County, New York","B01001_001",1996,151
"36001014612","Census Tract 146.12, Albany County, New York","B01001_001",1735,153
"36001014613","Census Tract 146.13, Albany County, New York","B01001_001",3406,260
"36001014614","Census Tract 146.14, Albany County, New York","B01001_001",5578,340
"36001014615","Census Tract 146.15, Albany County, New York","B01001_001",2888,270
"36001014700","Census Tract 147, Albany County, New York","B01001_001",2754,157
"36001014801","Census Tract 148.01, Albany County, New York","B01001_001",2820,23
"36001014802","Census Tract 148.02, Albany County, New York","B01001_001",1808,162
"36001014803","Census Tract 148.03, Albany County, New York","B01001_001",3382,15
"36057070200","Census Tract 702, Montgomery County, New York","B01001_001",2229,226
"36057070300","Census Tract 703, Montgomery County, New York","B01001_001",2195,283
"36057070400","Census Tract 704, Montgomery County, New York","B01001_001",1774,170
"36057070500","Census Tract 705, Montgomery County, New York","B01001_001",2639,359
"36057070600","Census Tract 706, Montgomery County, New York","B01001_001",2094,305
"36057070700","Census Tract 707, Montgomery County, New York","B01001_001",2821,290
"36057070800","Census Tract 708, Montgomery County, New York","B01001_001",2534,308
"36057070900","Census Tract 709, Montgomery County, New York","B01001_001",1777,288
"36057072100","Census Tract 721, Montgomery County, New York","B01001_001",5990,21
"36057072200","Census Tract 722, Montgomery County, New York","B01001_001",3783,25
"36057072300","Census Tract 723, Montgomery County, New York","B01001_001",3220,21
"36057072400","Census Tract 724, Montgomery County, New York","B01001_001",2566,16
"36057072500","Census Tract 725, Montgomery County, New York","B01001_001",4197,29
"36057072600","Census Tract 726, Montgomery County, New York","B01001_001",3642,20
"36057072700","Census Tract 727, Montgomery County, New York","B01001_001",4240,152
"36057072800","Census Tract 728, Montgomery County, New York","B01001_001",3966,153
"36083040100","Census Tract 401, Rensselaer County, New York","B01001_001",4543,460
"36083040200","Census Tract 402, Rensselaer County, New York","B01001_001",4627,526
"36083040300","Census Tract 403, Rensselaer County, New York","B01001_001",2723,365
"36083040400","Census Tract 404, Rensselaer County, New York","B01001_001",2215,316
"36083040500","Census Tract 405, Rensselaer County, New York","B01001_001",2113,254
"36083040600","Census Tract 406, Rensselaer County, New York","B01001_001",2371,219
"36083040700","Census Tract 407, Rensselaer County, New York","B01001_001",4885,481
"36083040800","Census Tract 408, Rensselaer County, New York","B01001_001",1874,206
"36083040900","Census Tract 409, Rensselaer County, New York","B01001_001",2737,331
"36083041000","Census Tract 410, Rensselaer County, New York","B01001_001",4538,406
"36083041100","Census Tract 411, Rensselaer County, New York","B01001_001",5313,342
"36083041200","Census Tract 412, Rensselaer County, New York","B01001_001",2818,285
"36083041300","Census Tract 413, Rensselaer County, New York","B01001_001",5205,384
"36083041400","Census Tract 414, Rensselaer County, New York","B01001_001",3919,290
"36083051500","Census Tract 515, Rensselaer County, New York","B01001_001",2525,338
"36083051600","Census Tract 516, Rensselaer County, New York","B01001_001",6910,332
"36083051701","Census Tract 517.01, Rensselaer County, New York","B01001_001",3414,19
"36083051702","Census Tract 517.02, Rensselaer County, New York","B01001_001",3445,21
"36083051800","Census Tract 518, Rensselaer County, New York","B01001_001",5713,21
"36083051901","Census Tract 519.01, Rensselaer County, New York","B01001_001",4114,222
"36083051902","Census Tract 519.02, Rensselaer County, New York","B01001_001",3562,224
"36083052002","Census Tract 520.02, Rensselaer County, New York","B01001_001",1757,148
"36083052003","Census Tract 520.03, Rensselaer County, New York","B01001_001",4520,257
"36083052004","Census Tract 520.04, Rensselaer County, New York","B01001_001",6092,236
"36083052101","Census Tract 521.01, Rensselaer County, New York","B01001_001",2240,188
"36083052102","Census Tract 521.02, Rensselaer County, New York","B01001_001",1571,140
"36083052103","Census Tract 521.03, Rensselaer County, New York","B01001_001",1699,179
"36083052201","Census Tract 522.01, Rensselaer County, New York","B01001_001",4534,20
"36083052203","Census Tract 522.03, Rensselaer County, New York","B01001_001",5764,229
"36083052204","Census Tract 522.04, Rensselaer County, New York","B01001_001",2768,224
"36083052301","Census Tract 523.01, Rensselaer County, New York","B01001_001",3919,313
"36083052303","Census Tract 523.03, Rensselaer County, New York","B01001_001",1144,138
"36083052304","Census Tract 523.04, Rensselaer County, New York","B01001_001",7088,323
"36083052402","Census Tract 524.02, Rensselaer County, New York","B01001_001",2353,162
"36083052403","Census Tract 524.03, Rensselaer County, New York","B01001_001",6709,345
"36083052404","Census Tract 524.04, Rensselaer County, New York","B01001_001",7400,363
"36083052501","Census Tract 525.01, Rensselaer County, New York","B01001_001",6366,338
"36083052502","Census Tract 525.02, Rensselaer County, New York","B01001_001",5394,338
"36083052503","Census Tract 525.03, Rensselaer County, New York","B01001_001",1325,116
"36083052601","Census Tract 526.01, Rensselaer County, New York","B01001_001",3783,95
"36083052602","Census Tract 526.02, Rensselaer County, New York","B01001_001",1075,97
"36083052603","Census Tract 526.03, Rensselaer County, New York","B01001_001",2894,12
"36091060101","Census Tract 601.01, Saratoga County, New York","B01001_001",5901,287
"36091060102","Census Tract 601.02, Saratoga County, New York","B01001_001",5669,288
"36091060200","Census Tract 602, Saratoga County, New York","B01001_001",3591,23
"36091060300","Census Tract 603, Saratoga County, New York","B01001_001",3843,198
"36091060400","Census Tract 604, Saratoga County, New York","B01001_001",2632,196
"36091060501","Census Tract 605.01, Saratoga County, New York","B01001_001",1750,170
"36091060502","Census Tract 605.02, Saratoga County, New York","B01001_001",2192,128
"36091060503","Census Tract 605.03, Saratoga County, New York","B01001_001",2216,119
"36091060601","Census Tract 606.01, Saratoga County, New York","B01001_001",2833,235
"36091060602","Census Tract 606.02, Saratoga County, New York","B01001_001",4939,236
"36091060701","Census Tract 607.01, Saratoga County, New York","B01001_001",7314,394
"36091060702","Census Tract 607.02, Saratoga County, New York","B01001_001",9339,392
"36091060800","Census Tract 608, Saratoga County, New York","B01001_001",5151,25
"36091060901","Census Tract 609.01, Saratoga County, New York","B01001_001",3833,164
"36091060902","Census Tract 609.02, Saratoga County, New York","B01001_001",1842,160
"36091061000","Census Tract 610, Saratoga County, New York","B01001_001",4277,456
"36091061100","Census Tract 611, Saratoga County, New York","B01001_001",5803,434
"36091061200","Census Tract 612, Saratoga County, New York","B01001_001",5262,510
"36091061301","Census Tract 613.01, Saratoga County, New York","B01001_001",3591,290
"36091061302","Census Tract 613.02, Saratoga County, New York","B01001_001",6490,383
"36091061303","Census Tract 613.03, Saratoga County, New York","B01001_001",2024,213
"36091061401","Census Tract 614.01, Saratoga County, New York","B01001_001",5251,301
"36091061403","Census Tract 614.03, Saratoga County, New York","B01001_001",6236,311
"36091061404","Census Tract 614.04, Saratoga County, New York","B01001_001",2820,212
"36091061500","Census Tract 615, Saratoga County, New York","B01001_001",3535,24
"36091061600","Census Tract 616, Saratoga County, New York","B01001_001",4181,24
"36091061701","Census Tract 617.01, Saratoga County, New York","B01001_001",5154,240
"36091061702","Census Tract 617.02, Saratoga County, New York","B01001_001",4393,231
"36091061800","Census Tract 618, Saratoga County, New York","B01001_001",5500,320
"36091061901","Census Tract 619.01, Saratoga County, New York","B01001_001",9333,275
"36091061903","Census Tract 619.03, Saratoga County, New York","B01001_001",5786,279
"36091062000","Census Tract 620, Saratoga County, New York","B01001_001",6526,150
"36091062100","Census Tract 621, Saratoga County, New York","B01001_001",1910,149
"36091062200","Census Tract 622, Saratoga County, New York","B01001_001",3069,216
"36091062300","Census Tract 623, Saratoga County, New York","B01001_001",2100,219
"36091062403","Census Tract 624.03, Saratoga County, New York","B01001_001",6438,350
"36091062404","Census Tract 624.04, Saratoga County, New York","B01001_001",1986,149
"36091062405","Census Tract 624.05, Saratoga County, New York","B01001_001",7268,483
"36091062406","Census Tract 624.06, Saratoga County, New York","B01001_001",3618,337
"36091062501","Census Tract 625.01, Saratoga County, New York","B01001_001",5010,228
"36091062503","Census Tract 625.03, Saratoga County, New York","B01001_001",5900,262
"36091062505","Census Tract 625.05, Saratoga County, New York","B01001_001",3909,287
"36091062506","Census Tract 625.06, Saratoga County, New York","B01001_001",5658,374
"36091062507","Census Tract 625.07, Saratoga County, New York","B01001_001",3861,246
"36091062508","Census Tract 625.08, Saratoga County, New York","B01001_001",4548,274
"36091062509","Census Tract 625.09, Saratoga County, New York","B01001_001",3150,202
"36091062601","Census Tract 626.01, Saratoga County, New York","B01001_001",2444,140
"36091062602","Census Tract 626.02, Saratoga County, New York","B01001_001",6430,384
"36091062700","Census Tract 627, Saratoga County, New York","B01001_001",6364,173
"36091062800","Census Tract 628, Saratoga County, New York","B01001_001",2059,175
"36093020101","Census Tract 201.01, Schenectady County, New York","B01001_001",2752,336
"36093020102","Census Tract 201.02, Schenectady County, New York","B01001_001",2757,437
"36093020200","Census Tract 202, Schenectady County, New York","B01001_001",2130,546
"36093020300","Census Tract 203, Schenectady County, New York","B01001_001",1547,290
"36093020500","Census Tract 205, Schenectady County, New York","B01001_001",5034,573
"36093020600","Census Tract 206, Schenectady County, New York","B01001_001",3097,409
"36093020700","Census Tract 207, Schenectady County, New York","B01001_001",6046,678
"36093020800","Census Tract 208, Schenectady County, New York","B01001_001",2942,588
"36093020900","Census Tract 209, Schenectady County, New York","B01001_001",3101,752
"36093021001","Census Tract 210.01, Schenectady County, New York","B01001_001",961,178
"36093021002","Census Tract 210.02, Schenectady County, New York","B01001_001",2362,493
"36093021200","Census Tract 212, Schenectady County, New York","B01001_001",2984,466
"36093021400","Census Tract 214, Schenectady County, New York","B01001_001",2760,607
"36093021500","Census Tract 215, Schenectady County, New York","B01001_001",3409,649
"36093021600","Census Tract 216, Schenectady County, New York","B01001_001",3974,573
"36093021700","Census Tract 217, Schenectady County, New York","B01001_001",3770,534
"36093021800","Census Tract 218, Schenectady County, New York","B01001_001",8060,660
"36093031900","Census Tract 319, Schenectady County, New York","B01001_001",8070,513
"36093032000","Census Tract 320, Schenectady County, New York","B01001_001",6406,447
"36093032101","Census Tract 321.01, Schenectady County, New York","B01001_001",5547,459
"36093032102","Census Tract 321.02, Schenectady County, New York","B01001_001",1853,154
"36093032200","Census Tract 322, Schenectady County, New York","B01001_001",4799,343
"36093032300","Census Tract 323, Schenectady County, New York","B01001_001",2933,340
"36093032402","Census Tract 324.02, Schenectady County, New York","B01001_001",3106,406
"36093032403","Census Tract 324.03, Schenectady County, New York","B01001_001",2152,190
"36093032404","Census Tract 324.04, Schenectady County, New York","B01001_001",6729,444
"36093032502","Census Tract 325.02, Schenectady County, New York","B01001_001",3481,272
"36093032503","Census Tract 325.03, Schenectady County, New York","B01001_001",4180,351
"36093032504","Census Tract 325.04, Schenectady County, New York","B01001_001",2110,180
"36093032601","Census Tract 326.01, Schenectady County, New York","B01001_001",1910,177
"36093032602","Census Tract 326.02, Schenectady County, New York","B01001_001",4248,439
"36093032700","Census Tract 327, Schenectady County, New York","B01001_001",3919,378
"36093032901","Census Tract 329.01, Schenectady County, New York","B01001_001",4291,337
"36093032902","Census Tract 329.02, Schenectady County, New York","B01001_001",4434,386
"36093033002","Census Tract 330.02, Schenectady County, New York","B01001_001",2329,163
"36093033003","Census Tract 330.03, Schenectady County, New York","B01001_001",3454,333
"36093033004","Census Tract 330.04, Schenectady County, New York","B01001_001",2596,290
"36093033101","Census Tract 331.01, Schenectady County, New York","B01001_001",1953,264
"36093033102","Census Tract 331.02, Schenectady County, New York","B01001_001",6407,268
"36093033200","Census Tract 332, Schenectady County, New York","B01001_001",3220,354
"36093033300","Census Tract 333, Schenectady County, New York","B01001_001",2083,295
"36093033400","Census Tract 334, Schenectady County, New York","B01001_001",2990,308
"36093033500","Census Tract 335, Schenectady County, New York","B01001_001",1959,279
"36095740100","Census Tract 7401, Schoharie County, New York","B01001_001",4877,261
"36095740200","Census Tract 7402, Schoharie County, New York","B01001_001",5223,246
"36095740300","Census Tract 7403, Schoharie County, New York","B01001_001",1257,246
"36095740400","Census Tract 7404, Schoharie County, New York","B01001_001",5508,268
"36095740500","Census Tract 7405, Schoharie County, New York","B01001_001",3584,262
"36095740600","Census Tract 7406, Schoharie County, New York","B01001_001",3014,191
"36095740700","Census Tract 7407, Schoharie County, New York","B01001_001",5291,244
"36095740800","Census Tract 7408, Schoharie County, New York","B01001_001",2913,216
"36001000100","Census Tract 1, Albany County, New York","B01001_001",1934,269
"36001000200","Census Tract 2, Albany County, New York","B01001_001",4431,568
"36001000300","Census Tract 3, Albany County, New York","B01001_001",5277,708
"36001000401","Census Tract 4.01, Albany County, New York","B01001_001",2377,219
"36001000403","Census Tract 4.03, Albany County, New York","B01001_001",4819,378
"36001000404","Census Tract 4.04, Albany County, New York","B01001_001",5045,493
"36001000501","Census Tract 5.01, Albany County, New York","B01001_001",3667,516
"36001000502","Census Tract 5.02, Albany County, New York","B01001_001",3756,321
"36001000600","Census Tract 6, Albany County, New York","B01001_001",3810,483
"36001000700","Census Tract 7, Albany County, New York","B01001_001",3713,557
"36001000800","Census Tract 8, Albany County, New York","B01001_001",2037,295
"36001001100","Census Tract 11, Albany County, New York","B01001_001",1239,226
"36001001400","Census Tract 14, Albany County, New York","B01001_001",3668,395
"36001001500","Census Tract 15, Albany County, New York","B01001_001",5080,696
"36001001600","Census Tract 16, Albany County, New York","B01001_001",4163,400
"36001001700","Census Tract 17, Albany County, New York","B01001_001",4562,346
"36001001801","Census Tract 18.01, Albany County, New York","B01001_001",7046,441
"36001001802","Census Tract 18.02, Albany County, New York","B01001_001",3933,354
"36001001901","Census Tract 19.01, Albany County, New York","B01001_001",2497,187
"36001001902","Census Tract 19.02, Albany County, New York","B01001_001",2723,290
"36001002000","Census Tract 20, Albany County, New York","B01001_001",6775,839
"36001002100","Census Tract 21, Albany County, New York","B01001_001",3119,409
"36001002200","Census Tract 22, Albany County, New York","B01001_001",2498,301
"36001002300","Census Tract 23, Albany County, New York","B01001_001",1946,372
"36001002500","Census Tract 25, Albany County, New York","B01001_001",3096,476
"36001002600","Census Tract 26, Albany County, New York","B01001_001",5214,548
"36001012700","Census Tract 127, Albany County, New York","B01001_001",2419,240
"36001012800","Census Tract 128, Albany County, New York","B01001_001",3770,414
"36001012900","Census Tract 129, Albany County, New York","B01001_001",3307,315
"36001013000","Census Tract 130, Albany County, New York","B01001_001",6915,402
"36001013100","Census Tract 131, Albany County, New York","B01001_001",2613,16
"36001013200","Census Tract 132, Albany County, New York","B01001_001",3146,331
"36001013300","Census Tract 133, Albany County, New York","B01001_001",4878,398
"36001013400","Census Tract 134, Albany County, New York","B01001_001",2183,265
"36001013503","Census Tract 135.03, Albany County, New York","B01001_001",5014,301
"36001013505","Census Tract 135.05, Albany County, New York","B01001_001",2655,288
"36001013506","Census Tract 135.06, Albany County, New York","B01001_001",6701,558
"36001013507","Census Tract 135.07, Albany County, New York","B01001_001",2443,178
"36001013508","Census Tract 135.08, Albany County, New York","B01001_001",6751,376
"36001013601","Census Tract 136.01, Albany County, New York","B01001_001",10036,450
"36001013602","Census Tract 136.02, Albany County, New York","B01001_001",4246,114
"36001013703","Census Tract 137.03, Albany County, New York","B01001_001",2657,247
"36001013705","Census Tract 137.05, Albany County, New York","B01001_001",6282,452
"36001013706","Census Tract 137.06, Albany County, New York","B01001_001",2195,144
"36001013707","Census Tract 137.07, Albany County, New York","B01001_001",6061,351
"36001013801","Census Tract 138.01, Albany County, New York","B01001_001",7542,413
"36001013802","Census Tract 138.02, Albany County, New York","B01001_001",4214,221
"36001013901","Census Tract 139.01, Albany County, New York","B01001_001",2481,163
"36001013902","Census Tract 139.02, Albany County, New York","B01001_001",5407,160
"36001014001","Census Tract 140.01, Albany County, New York","B01001_001",4039,299
"36001014002","Census Tract 140.02, Albany County, New York","B01001_001",4169,381
"36001014100","Census Tract 141, Albany County, New York","B01001_001",5204,276
"36001014201","Census Tract 142.01, Albany County, New York","B01001_001",5873,438
"36001014202","Census Tract 142.02, Albany County, New York","B01001_001",5883,345
"36001014203","Census Tract 142.03, Albany County, New York","B01001_001",6317,327
"36001014301","Census Tract 143.01, Albany County, New York","B01001_001",2880,266
"36001014302","Census Tract 143.02, Albany County, New York","B01001_001",8552,421
"36001014401","Census Tract 144.01, Albany County, New York","B01001_001",4143,45
"36001014402","Census Tract 144.02, Albany County, New York","B01001_001",3275,35
"36001014501","Census Tract 145.01, Albany County, New York","B01001_001",2518,141
"36001014502","Census Tract 145.02, Albany County, New York","B01001_001",3418,141
"36001014503","Census Tract 145.03, Albany County, New York","B01001_001",2822,17
"36001014606","Census Tract 146.06, Albany County, New York","B01001_001",3648,239
"36001014607","Census Tract 146.07, Albany County, New York","B01001_001",7621,356
"36001014608","Census Tract 146.08, Albany County, New York","B01001_001",4083,316
"36001014609","Census Tract 146.09, Albany County, New York","B01001_001",4738,283
"36001014611","Census Tract 146.11, Albany County, New York","B01001_001",1996,151
"36001014612","Census Tract 146.12, Albany County, New York","B01001_001",1735,153
"36001014613","Census Tract 146.13, Albany County, New York","B01001_001",3406,260
"36001014614","Census Tract 146.14, Albany County, New York","B01001_001",5578,340
"36001014615","Census Tract 146.15, Albany County, New York","B01001_001",2888,270
"36001014700","Census Tract 147, Albany County, New York","B01001_001",2754,157
"36001014801","Census Tract 148.01, Albany County, New York","B01001_001",2820,23
"36001014802","Census Tract 148.02, Albany County, New York","B01001_001",1808,162
"36001014803","Census Tract 148.03, Albany County, New York","B01001_001",3382,15
"36057070200","Census Tract 702, Montgomery County, New York","B01001_001",2229,226
"36057070300","Census Tract 703, Montgomery County, New York","B01001_001",2195,283
"36057070400","Census Tract 704, Montgomery County, New York","B01001_001",1774,170
"36057070500","Census Tract 705, Montgomery County, New York","B01001_001",2639,359
"36057070600","Census Tract 706, Montgomery County, New York","B01001_001",2094,305
"36057070700","Census Tract 707, Montgomery County, New York","B01001_001",2821,290
"36057070800","Census Tract 708, Montgomery County, New York","B01001_001",2534,308
"36057070900","Census Tract 709, Montgomery County, New York","B01001_001",1777,288
"36057072100","Census Tract 721, Montgomery County, New York","B01001_001",5990,21
"36057072200","Census Tract 722, Montgomery County, New York","B01001_001",3783,25
"36057072300","Census Tract 723, Montgomery County, New York","B01001_001",3220,21
"36057072400","Census Tract 724, Montgomery County, New York","B01001_001",2566,16
"36057072500","Census Tract 725, Montgomery County, New York","B01001_001",4197,29
"36057072600","Census Tract 726, Montgomery County, New York","B01001_001",3642,20
"36057072700","Census Tract 727, Montgomery County, New York","B01001_001",4240,152
"36057072800","Census Tract 728, Montgomery County, New York","B01001_001",3966,153
"36083040100","Census Tract 401, Rensselaer County, New York","B01001_001",4543,460
"36083040200","Census Tract 402, Rensselaer County, New York","B01001_001",4627,526
"36083040300","Census Tract 403, Rensselaer County, New York","B01001_001",2723,365
"36083040400","Census Tract 404, Rensselaer County, New York","B01001_001",2215,316
"36083040500","Census Tract 405, Rensselaer County, New York","B01001_001",2113,254
"36083040600","Census Tract 406, Rensselaer County, New York","B01001_001",2371,219
"36083040700","Census Tract 407, Rensselaer County, New York","B01001_001",4885,481
"36083040800","Census Tract 408, Rensselaer County, New York","B01001_001",1874,206
"36083040900","Census Tract 409, Rensselaer County, New York","B01001_001",2737,331
"36083041000","Census Tract 410, Rensselaer County, New York","B01001_001",4538,406
"36083041100","Census Tract 411, Rensselaer County, New York","B01001_001",5313,342
"36083041200","Census Tract 412, Rensselaer County, New York","B01001_001",2818,285
"36083041300","Census Tract 413, Rensselaer County, New York","B01001_001",5205,384
"36083041400","Census Tract 414, Rensselaer County, New York","B01001_001",3919,290
"36083051500","Census Tract 515, Rensselaer County, New York","B01001_001",2525,338
"36083051600","Census Tract 516, Rensselaer County, New York","B01001_001",6910,332
"36083051701","Census Tract 517.01, Rensselaer County, New York","B01001_001",3414,19
"36083051702","Census Tract 517.02, Rensselaer County, New York","B01001_001",3445,21
"36083051800","Census Tract 518, Rensselaer County, New York","B01001_001",5713,21
"36083051901","Census Tract 519.01, Rensselaer County, New York","B01001_001",4114,222
"36083051902","Census Tract 519.02, Rensselaer County, New York","B01001_001",3562,224
"36083052002","Census Tract 520.02, Rensselaer County, New York","B01001_001",1757,148
"36083052003","Census Tract 520.03, Rensselaer County, New York","B01001_001",4520,257
"36083052004","Census Tract 520.04, Rensselaer County, New York","B01001_001",6092,236
"36083052101","Census Tract 521.01, Rensselaer County, New York","B01001_001",2240,188
"36083052102","Census Tract 521.02, Rensselaer County, New York","B01001_001",1571,140
"36083052103","Census Tract 521.03, Rensselaer County, New York","B01001_001",1699,179
"36083052201","Census Tract 522.01, Rensselaer County, New York","B01001_001",4534,20
"36083052203","Census Tract 522.03, Rensselaer County, New York","B01001_001",5764,229
"36083052204","Census Tract 522.04, Rensselaer County, New York","B01001_001",2768,224
"36083052301","Census Tract 523.01, Rensselaer County, New York","B01001_001",3919,313
"36083052303","Census Tract 523.03, Rensselaer County, New York","B01001_001",1144,138
"36083052304","Census Tract 523.04, Rensselaer County, New York","B01001_001",7088,323
"36083052402","Census Tract 524.02, Rensselaer County, New York","B01001_001",2353,162
"36083052403","Census Tract 524.03, Rensselaer County, New York","B01001_001",6709,345
"36083052404","Census Tract 524.04, Rensselaer County, New York","B01001_001",7400,363
"36083052501","Census Tract 525.01, Rensselaer County, New York","B01001_001",6366,338
"36083052502","Census Tract 525.02, Rensselaer County, New York","B01001_001",5394,338
"36083052503","Census Tract 525.03, Rensselaer County, New York","B01001_001",1325,116
"36083052601","Census Tract 526.01, Rensselaer County, New York","B01001_001",3783,95
"36083052602","Census Tract 526.02, Rensselaer County, New York","B01001_001",1075,97
"36083052603","Census Tract 526.03, Rensselaer County, New York","B01001_001",2894,12
"36091060101","Census Tract 601.01, Saratoga County, New York","B01001_001",5901,287
"36091060102","Census Tract 601.02, Saratoga County, New York","B01001_001",5669,288
"36091060200","Census Tract 602, Saratoga County, New York","B01001_001",3591,23
"36091060300","Census Tract 603, Saratoga County, New York","B01001_001",3843,198
"36091060400","Census Tract 604, Saratoga County, New York","B01001_001",2632,196
"36091060501","Census Tract 605.01, Saratoga County, New York","B01001_001",1750,170
"36091060502","Census Tract 605.02, Saratoga County, New York","B01001_001",2192,128
"36091060503","Census Tract 605.03, Saratoga County, New York","B01001_001",2216,119
"36091060601","Census Tract 606.01, Saratoga County, New York","B01001_001",2833,235
"36091060602","Census Tract 606.02, Saratoga County, New York","B01001_001",4939,236
"36091060701","Census Tract 607.01, Saratoga County, New York","B01001_001",7314,394
"36091060702","Census Tract 607.02, Saratoga County, New York","B01001_001",9339,392
"36091060800","Census Tract 608, Saratoga County, New York","B01001_001",5151,25
"36091060901","Census Tract 609.01, Saratoga County, New York","B01001_001",3833,164
"36091060902","Census Tract 609.02, Saratoga County, New York","B01001_001",1842,160
"36091061000","Census Tract 610, Saratoga County, New York","B01001_001",4277,456
"36091061100","Census Tract 611, Saratoga County, New York","B01001_001",5803,434
"36091061200","Census Tract 612, Saratoga County, New York","B01001_001",5262,510
"36091061301","Census Tract 613.01, Saratoga County, New York","B01001_001",3591,290
"36091061302","Census Tract 613.02, Saratoga County, New York","B01001_001",6490,383
"36091061303","Census Tract 613.03, Saratoga County, New York","B01001_001",2024,213
"36091061401","Census Tract 614.01, Saratoga County, New York","B01001_001",5251,301
"36091061403","Census Tract 614.03, Saratoga County, New York","B01001_001",6236,311
"36091061404","Census Tract 614.04, Saratoga County, New York","B01001_001",2820,212
"36091061500","Census Tract 615, Saratoga County, New York","B01001_001",3535,24
"36091061600","Census Tract 616, Saratoga County, New York","B01001_001",4181,24
"36091061701","Census Tract 617.01, Saratoga County, New York","B01001_001",5154,240
"36091061702","Census Tract 617.02, Saratoga County, New York","B01001_001",4393,231
"36091061800","Census Tract 618, Saratoga County, New York","B01001_001",5500,320
"36091061901","Census Tract 619.01, Saratoga County, New York","B01001_001",9333,275
"36091061903","Census Tract 619.03, Saratoga County, New York","B01001_001",5786,279
"36091062000","Census Tract 620, Saratoga County, New York","B01001_001",6526,150
"36091062100","Census Tract 621, Saratoga County, New York","B01001_001",1910,149
"36091062200","Census Tract 622, Saratoga County, New York","B01001_001",3069,216
"36091062300","Census Tract 623, Saratoga County, New York","B01001_001",2100,219
"36091062403","Census Tract 624.03, Saratoga County, New York","B01001_001",6438,350
"36091062404","Census Tract 624.04, Saratoga County, New York","B01001_001",1986,149
"36091062405","Census Tract 624.05, Saratoga County, New York","B01001_001",7268,483
"36091062406","Census Tract 624.06, Saratoga County, New York","B01001_001",3618,337
"36091062501","Census Tract 625.01, Saratoga County, New York","B01001_001",5010,228
"36091062503","Census Tract 625.03, Saratoga County, New York","B01001_001",5900,262
"36091062505","Census Tract 625.05, Saratoga County, New York","B01001_001",3909,287
"36091062506","Census Tract 625.06, Saratoga County, New York","B01001_001",5658,374
"36091062507","Census Tract 625.07, Saratoga County, New York","B01001_001",3861,246
"36091062508","Census Tract 625.08, Saratoga County, New York","B01001_001",4548,274
"36091062509","Census Tract 625.09, Saratoga County, New York","B01001_001",3150,202
"36091062601","Census Tract 626.01, Saratoga County, New York","B01001_001",2444,140
"36091062602","Census Tract 626.02, Saratoga County, New York","B01001_001",6430,384
"36091062700","Census Tract 627, Saratoga County, New York","B01001_001",6364,173
"36091062800","Census Tract 628, Saratoga County, New York","B01001_001",2059,175
"36093020101","Census Tract 201.01, Schenectady County, New York","B01001_001",2752,336
"36093020102","Census Tract 201.02, Schenectady County, New York","B01001_001",2757,437
"36093020200","Census Tract 202, Schenectady County, New York","B01001_001",2130,546
"36093020300","Census Tract 203, Schenectady County, New York","B01001_001",1547,290
"36093020500","Census Tract 205, Schenectady County, New York","B01001_001",5034,573
"36093020600","Census Tract 206, Schenectady County, New York","B01001_001",3097,409
"36093020700","Census Tract 207, Schenectady County, New York","B01001_001",6046,678
"36093020800","Census Tract 208, Schenectady County, New York","B01001_001",2942,588
"36093020900","Census Tract 209, Schenectady County, New York","B01001_001",3101,752
"36093021001","Census Tract 210.01, Schenectady County, New York","B01001_001",961,178
"36093021002","Census Tract 210.02, Schenectady County, New York","B01001_001",2362,493
"36093021200","Census Tract 212, Schenectady County, New York","B01001_001",2984,466
"36093021400","Census Tract 214, Schenectady County, New York","B01001_001",2760,607
"36093021500","Census Tract 215, Schenectady County, New York","B01001_001",3409,649
"36093021600","Census Tract 216, Schenectady County, New York","B01001_001",3974,573
"36093021700","Census Tract 217, Schenectady County, New York","B01001_001",3770,534
"36093021800","Census Tract 218, Schenectady County, New York","B01001_001",8060,660
"36093031900","Census Tract 319, Schenectady County, New York","B01001_001",8070,513
"36093032000","Census Tract 320, Schenectady County, New York","B01001_001",6406,447
"36093032101","Census Tract 321.01, Schenectady County, New York","B01001_001",5547,459
"36093032102","Census Tract 321.02, Schenectady County, New York","B01001_001",1853,154
"36093032200","Census Tract 322, Schenectady County, New York","B01001_001",4799,343
"36093032300","Census Tract 323, Schenectady County, New York","B01001_001",2933,340
